colored,blocksworld_01,1,0.022729,1775,3486,5826
gnadGjoel,blocksworld_01,1,0.002248,154,231,414
colored,blocksworld_01,2,0.030409,2231,5580,8469
gnadGjoel,blocksworld_01,2,0.001835,80,142,235
colored,blocksworld_01,3,0.03241,2231,5580,8469
gnadGjoel,blocksworld_01,3,0.002055,80,142,235
colored,blocksworld_01,4,0.029462,2231,5580,8469
gnadGjoel,blocksworld_01,4,0.003256,80,142,235
colored,blocksworld_01,5,0.029218,2100,4672,7380
gnadGjoel,blocksworld_01,5,0.001429,37,71,110
colored,blocksworld_01,6,0.029654,2100,4672,7380
gnadGjoel,blocksworld_01,6,0.001678,37,71,110
colored,blocksworld_01,7,0.024923,2100,4672,7380
gnadGjoel,blocksworld_01,7,0.001368,37,71,110
colored,blocksworld_01,8,0.032514,2421,5917,9069
gnadGjoel,blocksworld_01,8,0.002403,175,267,488
colored,blocksworld_01,9,0.037138,2421,5917,9069
gnadGjoel,blocksworld_01,9,0.00246,175,267,488
colored,blocksworld_01,10,0.019688,1646,3920,5997
gnadGjoel,blocksworld_01,10,0.002429,129,212,369
colored,blocksworld_01,11,0.024038,1646,3920,5997
gnadGjoel,blocksworld_01,11,0.001734,129,212,369
colored,blocksworld_01,12,0.021948,1646,3920,5997
gnadGjoel,blocksworld_01,12,0.002227,129,212,369
colored,blocksworld_01,13,0.018758,1492,3417,5386
gnadGjoel,blocksworld_01,13,0.001948,74,122,211
colored,blocksworld_01,14,0.018548,1492,3417,5386
gnadGjoel,blocksworld_01,14,0.00193,74,122,211
colored,blocksworld_01,15,0.025358,1492,3417,5386
gnadGjoel,blocksworld_01,15,0.001585,74,122,211
colored,blocksworld_01,16,0.030484,1944,5132,7607
gnadGjoel,blocksworld_01,16,0.002056,23,49,74
colored,blocksworld_01,17,0.032784,1944,5132,7607
gnadGjoel,blocksworld_01,17,0.002487,23,49,74
colored,blocksworld_01,18,0.031262,2538,5680,8878
gnadGjoel,blocksworld_01,18,0.002236,123,197,340
colored,blocksworld_01,19,0.031718,2538,5680,8878
gnadGjoel,blocksworld_01,19,0.001734,123,197,340
colored,blocksworld_01,20,0.031819,2538,5680,8878
gnadGjoel,blocksworld_01,20,0.001393,123,197,340
colored,blocksworld_01,21,0.039696,2821,6629,10153
gnadGjoel,blocksworld_01,21,0.001684,141,238,413
colored,blocksworld_01,22,0.048259,2821,6629,10153
gnadGjoel,blocksworld_01,22,0.002753,141,238,413
